tabela,grupo,metrica,valor,n,total
confiabilidade_origem,"rotina (v1, 30 perguntas)",acc_t,73.3,66,90
confiabilidade_origem,"rotina (v1, 30 perguntas)",f_resp,80.0,72,90
confiabilidade_origem,"rotina (v1, 30 perguntas)",r_ctx,40.0,6,15
confiabilidade_origem,"adversarial (v2, 50 perguntas)",acc_t,68.0,102,150
confiabilidade_origem,"adversarial (v2, 50 perguntas)",f_resp,88.0,132,150
confiabilidade_origem,"adversarial (v2, 50 perguntas)",r_ctx,63.6,21,33
confiabilidade_origem,total (80 perguntas),acc_t,70.0,168,240
confiabilidade_origem,total (80 perguntas),f_resp,85.0,204,240
confiabilidade_origem,total (80 perguntas),r_ctx,56.2,27,48
confiabilidade_categoria,ambiguidade,acc_t,33.3,6,18
confiabilidade_categoria,ambiguidade,f_resp,66.7,12,18
confiabilidade_categoria,ambiguidade,r_ctx,,0,0
confiabilidade_categoria,ambiguidade,perguntas,6,,
confiabilidade_categoria,anomalias,acc_t,75.0,9,12
confiabilidade_categoria,anomalias,f_resp,75.0,9,12
confiabilidade_categoria,anomalias,r_ctx,,0,0
confiabilidade_categoria,anomalias,perguntas,4,,
confiabilidade_categoria,anti_reciclagem,acc_t,87.5,21,24
confiabilidade_categoria,anti_reciclagem,f_resp,100.0,24,24
confiabilidade_categoria,anti_reciclagem,r_ctx,80.0,12,15
confiabilidade_categoria,anti_reciclagem,perguntas,8,,
confiabilidade_categoria,cadeia_contexto,acc_t,62.5,15,24
confiabilidade_categoria,cadeia_contexto,f_resp,87.5,21,24
confiabilidade_categoria,cadeia_contexto,r_ctx,50.0,9,18
confiabilidade_categoria,cadeia_contexto,perguntas,8,,
confiabilidade_categoria,container_especifico,acc_t,16.7,3,18
confiabilidade_categoria,container_especifico,f_resp,83.3,15,18
confiabilidade_categoria,container_especifico,r_ctx,,0,0
confiabilidade_categoria,container_especifico,perguntas,6,,
confiabilidade_categoria,containers,acc_t,75.0,18,24
confiabilidade_categoria,containers,f_resp,62.5,15,24
confiabilidade_categoria,containers,r_ctx,,0,0
confiabilidade_categoria,containers,perguntas,8,,
confiabilidade_categoria,contexto,acc_t,25.0,3,12
confiabilidade_categoria,contexto,f_resp,50.0,6,12
confiabilidade_categoria,contexto,r_ctx,0.0,0,9
confiabilidade_categoria,contexto,perguntas,4,,
confiabilidade_categoria,fora_de_escopo,acc_t,87.5,21,24
confiabilidade_categoria,fora_de_escopo,f_resp,87.5,21,24
confiabilidade_categoria,fora_de_escopo,r_ctx,,0,0
confiabilidade_categoria,fora_de_escopo,perguntas,8,,
confiabilidade_categoria,promql_cru,acc_t,75.0,9,12
confiabilidade_categoria,promql_cru,f_resp,75.0,9,12
confiabilidade_categoria,promql_cru,r_ctx,,0,0
confiabilidade_categoria,promql_cru,perguntas,4,,
confiabilidade_categoria,recursos_vm,acc_t,100.0,24,24
confiabilidade_categoria,recursos_vm,f_resp,100.0,24,24
confiabilidade_categoria,recursos_vm,r_ctx,,0,0
confiabilidade_categoria,recursos_vm,perguntas,8,,
confiabilidade_categoria,robustez_linguistica,acc_t,90.0,27,30
confiabilidade_categoria,robustez_linguistica,f_resp,100.0,30,30
confiabilidade_categoria,robustez_linguistica,r_ctx,,0,0
confiabilidade_categoria,robustez_linguistica,perguntas,10,,
confiabilidade_categoria,saude_geral,acc_t,66.7,12,18
confiabilidade_categoria,saude_geral,f_resp,100.0,18,18
confiabilidade_categoria,saude_geral,r_ctx,100.0,6,6
confiabilidade_categoria,saude_geral,perguntas,6,,
retentativa,rodada_1,ativacoes,15,15,68
retentativa,rodada_1,taxa_pct,22.1,15,68
retentativa,rodada_1,aviso_emitido,0,,
retentativa,rodada_2,ativacoes,15,15,68
retentativa,rodada_2,taxa_pct,22.1,15,68
retentativa,rodada_2,aviso_emitido,0,,
retentativa,rodada_3,ativacoes,16,16,68
retentativa,rodada_3,taxa_pct,23.5,16,68
retentativa,rodada_3,aviso_emitido,0,,
retentativa,media_rodadas,taxa_pct_media,22.5,,
retentativa,media_rodadas,taxa_pct_desvio_pop,0.7,,
retentativa,todas,interacoes_retry_inferido,0,,
desempenho,rodada_1,interacoes,80,,
desempenho,rodada_1,erros,2,,
desempenho,rodada_1,latencia_media_s,62.2,,
desempenho,rodada_1,latencia_mediana_s,38.3,,
desempenho,rodada_1,latencia_p95_s_nearest_rank,186.8,,
desempenho,rodada_1,latencia_min_s,6.3,,
desempenho,rodada_1,latencia_max_s,331.4,,
desempenho,rodada_1,prefill_tokens_s_media,211.8,,
desempenho,rodada_1,decode_tokens_s_media,2.71,,
desempenho,rodada_1,prompt_tokens_media,2629.0,,
desempenho,rodada_1,cpu_temp_media_c,73.9,,
desempenho,rodada_1,cpu_temp_min_c,70.5,,
desempenho,rodada_1,cpu_temp_max_c,76.0,,
desempenho,rodada_1,interacoes_throttling_ativo,0,,
desempenho,rodada_1,registro_throttled_distinto,0xe0000,,
desempenho,rodada_2,interacoes,80,,
desempenho,rodada_2,erros,2,,
desempenho,rodada_2,latencia_media_s,61.8,,
desempenho,rodada_2,latencia_mediana_s,38.1,,
desempenho,rodada_2,latencia_p95_s_nearest_rank,168.4,,
desempenho,rodada_2,latencia_min_s,6.3,,
desempenho,rodada_2,latencia_max_s,331.9,,
desempenho,rodada_2,prefill_tokens_s_media,213.2,,
desempenho,rodada_2,decode_tokens_s_media,2.74,,
desempenho,rodada_2,prompt_tokens_media,2629.0,,
desempenho,rodada_2,cpu_temp_media_c,74.5,,
desempenho,rodada_2,cpu_temp_min_c,72.2,,
desempenho,rodada_2,cpu_temp_max_c,77.1,,
desempenho,rodada_2,interacoes_throttling_ativo,0,,
desempenho,rodada_2,registro_throttled_distinto,0xe0000,,
desempenho,rodada_3,interacoes,80,,
desempenho,rodada_3,erros,2,,
desempenho,rodada_3,latencia_media_s,60.7,,
desempenho,rodada_3,latencia_mediana_s,38.5,,
desempenho,rodada_3,latencia_p95_s_nearest_rank,164.4,,
desempenho,rodada_3,latencia_min_s,6.6,,
desempenho,rodada_3,latencia_max_s,332.7,,
desempenho,rodada_3,prefill_tokens_s_media,212.7,,
desempenho,rodada_3,decode_tokens_s_media,2.75,,
desempenho,rodada_3,prompt_tokens_media,2645.0,,
desempenho,rodada_3,cpu_temp_media_c,75.1,,
desempenho,rodada_3,cpu_temp_min_c,72.2,,
desempenho,rodada_3,cpu_temp_max_c,78.2,,
desempenho,rodada_3,interacoes_throttling_ativo,0,,
desempenho,rodada_3,registro_throttled_distinto,0xe0000,,
desempenho,todas,latencia_media_entre_rodadas_s,61.6,,
desempenho,todas,latencia_media_desvio_pop_s,0.6,,
desempenho,todas,latencia_mediana_pooled_s,38.4,,
desempenho,todas,latencia_min_s,6.3,,
desempenho,todas,latencia_max_s,332.7,,
desempenho,todas,prefill_tokens_s_media_entre_rodadas,212.6,,
